TOP_OCCUPATIONS;NUMBER_CERTIFIED_APPLICATIONS;PERCENTAGE
Computer Systems Analysts;27369;17.0%
Software Developers, Applications;19045;11.8%
Computer Programmers;18568;11.5%
Computer Occupations, All Other;10293;6.4%
Software Developers, Systems Software;4525;2.8%
Management Analysts;3093;1.9%
Accountants and Auditors;2783;1.7%
Financial Analysts;2132;1.3%
Network and Computer Systems Administrators;1892;1.2%
Database Administrators;1818;1.1%
Electronics Engineers, Except Computer;1621;1.0%
Mechanical Engineers;1471;0.9%
Electrical Engineers;1293;0.8%
Computer and Information Systems Managers;1228;0.8%
Operations Research Analysts;1195;0.7%
Medical Scientists, Except Epidemiologists;1144;0.7%
Market Research Analysts and Marketing Specialists;1134;0.7%
Physicians and Surgeons, All Other;1107;0.7%
;871;0.5%
Web Developers;863;0.5%
Physical Therapists;862;0.5%
Biochemists and Biophysicists;817;0.5%
Industrial Engineers;798;0.5%
Biological Scientists, All Other;722;0.4%
Statisticians;685;0.4%
Internists, General;552;0.3%
Marketing Managers;477;0.3%
Chemists;475;0.3%
Pharmacists;456;0.3%
Civil Engineers;422;0.3%
Engineers, All Other;412;0.3%
Sales Engineers;378;0.2%
Financial Managers;344;0.2%
Health Specialties Teachers, Postsecondary;334;0.2%
Computer Hardware Engineers;329;0.2%
Graphic Designers;328;0.2%
Commercial and Industrial Designers;323;0.2%
Managers, All Other;322;0.2%
Biological Technicians;312;0.2%
Architectural and Engineering Managers;300;0.2%
Medical and Clinical Laboratory Technologists;294;0.2%
Secondary School Teachers, Except Special and Care;290;0.2%
Computer and Information Research Scientists;279;0.2%
Materials Engineers;279;0.2%
Elementary School Teachers, Except Special Educati;278;0.2%
Logisticians;264;0.2%
General and Operations Managers;257;0.2%
Business Operations Specialists, All Other;250;0.2%
Family and General Practitioners;247;0.2%
Physicists;240;0.1%
Chemical Engineers;239;0.1%
Lawyers;226;0.1%
Dentists, General;211;0.1%
Sales Managers;210;0.1%
Information Security Analysts;207;0.1%
Architects, Except Landscape and Naval;206;0.1%
Business Teachers, Postsecondary;201;0.1%
Engineering Teachers, Postsecondary;190;0.1%
Biomedical Engineers;183;0.1%
Occupational Therapists;182;0.1%
Materials Scientists;176;0.1%
Human Resources Specialists;171;0.1%
Financial Specialists, All Other;170;0.1%
Public Relations Specialists;164;0.1%
Medical and Health Services Managers;163;0.1%
Actuaries;152;0.1%
Geoscientists, Except Hydrologists and Geographers;145;0.1%
Computer User Support Specialists;142;0.1%
Microbiologists;140;0.1%
Economists;137;0.1%
Credit Analysts;130;0.1%
Pediatricians, General;124;0.1%
Computer Network Architects;118;0.1%
Environmental Engineers;117;0.1%
Industrial Production Managers;116;0.1%
Petroleum Engineers;115;0.1%
Mathematical Science Teachers, Postsecondary;114;0.1%
Cost Estimators;111;0.1%
Soil and Plant Scientists;111;0.1%
Foreign Language and Literature Teachers, Postseco;110;0.1%
Speech-Language Pathologists;108;0.1%
Software Developers, Applications, Non R & D;107;0.1%
Health Diagnosing and Treating Practitioners, All;102;0.1%
Instructional Coordinators;102;0.1%
Food Scientists and Technologists;98;0.1%
Architectural and Civil Drafters;97;0.1%
Compliance Officers;96;0.1%
Chief Executives;95;0.1%
Middle School Teachers, Except Special and Career/;92;0.1%
Budget Analysts;91;0.1%
Multimedia Artists and Animators;91;0.1%
Fashion Designers;89;0.1%
Social Science Research Assistants;89;0.1%
Life Scientists, All Other;86;0.1%
Psychiatrists;82;0.1%
Purchasing Managers;79;0.0%
Coaches and Scouts;77;0.0%
Computer Science Teachers, Postsecondary;76;0.0%
Healthcare Practitioners and Technical Workers, Al;72;0.0%
Teachers and Instructors, All Other;72;0.0%
Natural Sciences Managers;68;0.0%
